수산물품목코드,대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,이명,학명,한글과명,영문과명,수과원계통ID
610000,61,해면어류,00,,00,,,,,,
610100,61,해면어류,01,가오리류,00,가오리류,,,,,
610101,61,해면어류,01,가오리류,01,노랑가오리,"Redsting ray, Red skate, 노랑가부리(부산), 창가오리, 간재미, 가오리(전남), 딱장가오리, 딱장가부리",Dasyatis akajei,색가오리과,Family Dasyatidae,MF0008652
610102,61,해면어류,01,가오리류,02,목탁가오리,"Fanray, 목대기(전남), 박대(평북), 목대, 목대가오리(정주)",Platyrhina sinensis,가래상어과,Family Rhinobatidae,MF0006268
610103,61,해면어류,01,가오리류,03,흰가오리,"Sepia stingray, 흰가부리(부산)",Urolophus aurantiacus,흰가오리과,Family Urolophidae,MF0001416
610104,61,해면어류,01,가오리류,04,거울가오리,"Brown ray, Homelyn mirror ray,거울홍어",Raja miraletus,가오리과,Family Rajidae,MF0006119
610105,61,해면어류,01,가오리류,05,전기가오리,"Japanese sleeper ray, 시끈가오리, 시끈가부리(부산), 밀가우리, 쟁개비(서해안)",Narke japonica,전기가오리과,Family Narcinidae,MF0007476
610106,61,해면어류,01,가오리류,06,나비가오리,,Gymnura japonica,나비가오리과,Family Gymnuridae,
610107,61,해면어류,01,가오리류,07,만타가오리,,,만타가오리과,,
610108,61,해면어류,01,가오리류,08,보라색가오리,"Pelagic stingray, Violet stingray",Dasyatis violacea,색가오리과,Family Dasyatidae,MF0008657
610109,61,해면어류,01,가오리류,09,쥐가오리,,Mobula japonica,매가오리과,Family Myliobatididae,
610199,61,해면어류,01,가오리류,99,기타가오리류,,,,,
610200,61,해면어류,02,가자미류,00,가자미류,,,,,
610201,61,해면어류,02,가자미류,01,도다리,Finespotted flounder,Pleuronichthys cornutus,가자미과,Family Pleuronectidae,MF0014568
610202,61,해면어류,02,가자미류,02,용가자미,Pointhead flounder,Hippoglossoides pinetorum,가자미과,Family Pleuronectidae,MF0011202
610203,61,해면어류,02,가자미류,03,참가자미,"Brown sole, 참가재미, 개재미",Pleuronectes herzensteini,가자미과,Family Pleuronectidae,MF0007335
610204,61,해면어류,02,가자미류,04,물가자미,"Shotted halibut, 감중어, 물가재미(함북)",Eopsetta grigorjewi,가자미과,Family Pleuronectidae,MF0000920
610205,61,해면어류,02,가자미류,05,기름가자미,Blackfin flounder,Glyptocephalus stelleri,가자미과,Family Pleuronectidae,MF0004253
610206,61,해면어류,02,가자미류,06,문치가자미,,Pleuronectes yokohamae,가자미과,Family Pleuronectidae,MF0007995
610207,61,해면어류,02,가자미류,07,홍가자미,"Flathead flounder, Red halibut",Hippoglossoides dubius,가자미과,Family Pleuronectidae,MF0006751
610208,61,해면어류,02,가자미류,08,돌가자미,"Stone flounder, 돌가재미(황해도, 부산)",Kareius bicoloratus,가자미과,Family Pleuronectidae,MF0000634
610209,61,해면어류,02,가자미류,09,노랑가자미,,Verasper moseri,가자미과,Family Pleuronectidae,
610210,61,해면어류,02,가자미류,10,각시가자미,"Yellowfin sole, Alaska dab",Pleuronectes aspera,가자미과,Family Pleuronectidae,MF0007332
610211,61,해면어류,02,가자미류,11,줄가자미,Roughscale sole,Clidoderma asperrimum,가자미과,Family Pleuronectidae,MF0013977
610212,61,해면어류,02,가자미류,12,강도다리,"Starry flounder, Diamond back",Platichthys stellatus,가자미과,Family Pleuronectidae,MF0014069
610213,61,해면어류,02,가자미류,13,갈가자미,"Willowy flounder, 갈가재미(전남), 납세미(부산)",Tanakius kitaharai,가자미과,Family Pleuronectidae,MF0004281
610214,61,해면어류,02,가자미류,14,범가자미,"Spotted halibut, 범가재미(강원), 별납생이(전남)",Verasper variegatus,가자미과,Family Pleuronectidae,MF0003969
610215,61,해면어류,02,가자미류,15,점가자미,,Limanda schrenki,가자미과,Family Pleuronectidae,MF0007994
610216,61,해면어류,02,가자미류,16,까지가자미,"Rock sole, Broadfin sole",Pleuronectes bilineatus,가자미과,Family Pleuronectidae,MF0002963
610217,61,해면어류,02,가자미류,17,눈가자미,"Rikuzen flounder, Rikuzen sole, 눈가재미(한어)",Dexistes rikuzenius,가자미과,Family Pleuronectidae,MF0014032
610218,61,해면어류,02,가자미류,18,말가자미,,,,,
610219,61,해면어류,02,가자미류,19,주둥가자미,Righteye flounder,Pleuronectes proboscideus,가자미과,Family Pleuronectidae,MF0007334
610220,61,해면어류,02,가자미류,20,검정가자미,Greenland halibut,Reinhardtius hippoglossoides,가자미과,Family Pleuronectidae,MF0003508
