"","Comm","Korean","Korean_name"
"1","Abalone (Haliotis spp.), dried, salted or in brine; smoked","621600","전복류"
"2","Abalone (Haliotis spp.), frozen","621600","전복류"
"3","Abalone (Haliotis spp.), live, fresh or chilled","621600","전복류"
"4","Abalone, prepared or preserved","931121|933129","전복 가공품"
"5","Agar - agar","937100","한천류"
"6","Alaska Pollock (Theragra chalcogramma), fillets, frozen","614500","명태류"
"7","Alaska Pollock (Theragra chalcogramma), fresh or chilled","614500","명태류"
"8","Alaska Pollock (Theragra chalcogramma), frozen","614500","명태류"
"9","Alaska Pollock (Theragra chalcogramma), meat, frozen","614500","명태류"
"10","Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled","612907","날개다랑어"
"11","Albacore or longfinned tunas (Thunnus alalunga), frozen","612907","날개다랑어"
"12","Anchovies (Engraulis spp.), fresh or chilled","614400","멸치류"
"13","Anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, frozen","614400","멸치류"
"14","Anchovies, prepared or preserved","931107|933111|933112","멸치 가공품"
"15","Anchovies, salted or in brine","614400","멸치류"
"16","Atlantic and Danube salmon, fresh or chilled","618807","대서양연어"
"17","Atlantic and Danube salmon, frozen","618807","대서양연어"
"18","Bigeye tuna, fresh or chilled","612904","눈다랑어"
"19","Bigeye tuna, frozen","612904","눈다랑어"
"20","Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled","613113","청대구"
"21","Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen","613113","청대구"
"22","Bluefin tuna (Thunnus thynnus, Thunnus orientalis), fresh or chilled","612903","참다랑어"
"23","Bluefin tuna (Thunnus thynnus, Thunnus orientalis), frozen","612903","참다랑어"
"24","Bluefin tunas (Thunnus thynnus, Thunnus orientalis), live","612903","참다랑어"
"25","Carp,  fresh or chilled","711700","잉어류"
"26","Carp, frozen","711700","잉어류"
"27","Carp, live","711700","잉어류"
"28","Carps, eels and snakeheads, fillets, fresh or chilled","711700|711800|710101","잉어류, 장어류, 가물치"
"29","Carps, eels and snakeheads, fillets, frozen","711700|711800|710101","잉어류, 장어류, 가물치"
"30","Catfish,  fresh or chilled","710800","메기류"
"31","Catfish, fillets, fresh or chilled","710800","메기류"
"32","Catfish, fillets, frozen","710800","메기류"
"33","Catfish, frozen","710800","메기류"
"34","Caviar","616904","상어알"
"35","Caviar substitutes","616904","상어알"
"36","Clams, cockles and ark shells, live, fresh or chilled","620203|621200|620801","대합, 새조개, 새꼬막"
"37","Clams, cockles and arkshells, prepared or preserved","931105|931114|931129","대합, 새조개, 새꼬막 가공품"
"38","Clams, cockles, arkshells, dried, salted or in brine; smoked","620203|621200|620801","대합, 새조개, 새꼬막"
"39","Clams, cockles, arkshells, frozen","620203|621200|620801","대합, 새조개, 새꼬막"
"40","Coalfish (=Saithe), frozen","613104","검정대구"
"41","Coalfish(=Saithe), fillets, frozen","613104","검정대구"
"42","Coalfish(=Saithe), fresh or chilled","613104","검정대구"
"43","Cobia (Rachycentron canadum), fresh or chilled","611801","날쌔기"
"44","Cobia (Rachycentron canadum), frozen","611801","날쌔기"
"45","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), fresh or chilled","613101","대구"
"46","Cod (Gadus spp.), frozen","613101","대구"
"47","Cod (Gadus spp.), salted or in brine","613101","대구"
"48","Cod, fillets, frozen","613101","대구"
"49","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled","630416|630427","도화새우, 자주새우"
"50","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), whether in shell or not, frozen","630416|630427","도화새우, 자주새우"
"51","Coral and similar material, unworked or simply prepared","699900","산호(기타)"
"52","Crab, prepared or preserved","931102","게 가공품"
"53","Crabs, dried, salted or in brine, smoked","630200","게류"
"54","Crabs, live, fresh or chilled","630200","게류"
"55","Crabs, whether in shell or not, frozen","630200","게류"
"56","Crustaceans dried, salted or in brine, smoked, for human consumption, nei","630000","갑각류 전반"
"57","Crustaceans live, fresh or chilled, for human consumption, nei","630000","갑각류 전반"
"58","Cuttle fish and squid, prepared or preserved","931118","오징어 가공품"
"59","Cuttlefish and squid, frozen","640100|640500","오징어, 갑오징어"
"60","Cuttlefish and squid, live, fresh or chilled","640100|640500","오징어, 갑오징어"
"61","Cuttlefishes and squids, dried, salted or in brine; smoked","640100|640500","오징어, 갑오징어"
"62","Dogfish (Squalidae) and other sharks, fillets, fresh or chilled","616900","상어류"
