"","Country","Species","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","y2018","total"
"1","Afghanistan","Cyprinids nei",225,225,225,225,225,225,600,600,600,600,600,600,600,750,750,750,750,1000,1000,1000,1000,1014.6,1201.82,2702.07,2687.41,4481.66,6781.13,8984.53,10777.39,11730.4,13163.89,14130.7,14381.26,16346.47,17535.28,138468.61
"2","Afghanistan","Rainbow trout",60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,211.38,250.38,750.58,746.5,746.94,807.28,267.4,294.57,316.01,349.36,367.99,368.37,367.5,346.82,7351.08
"3","Albania","Common carp",25,50,120,105,88.26,146.16,91.2,34.5,20.8,20.8,23.1,51,67.5,8,10.76,4.36,4.18,6.27,8.56,15.8,23.35,19.23,30.6,38.8,354.65,25.3,0,0,0,0,0,0,0,0,0,1393.18
"4","Albania","Crucian carp",25,25,30,12.5,1.78,9.1,7,3.2,1.7,3.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.28
"5","Albania","European seabass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.7,512.14,1105.87,996.03,909.21,1179.44,2218.43,3406.88,3981.83,3334.37,3866.57,5037.8,4630.09,31622.36
"6","Albania","Freshwater fishes nei",2.5,15,75,50,11.74,0.9,1,1.1,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.64
"7","Albania","Gilthead seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.76,570.82,823,1556.72,1001.3,1509.6,2005.34,2260.27,2339.88,2695.88,2415.88,8873.72,9085,9101.32,8574.09,9183.12,12090.71,10649.22,85014.63
"8","Albania","Grass carp(=White amur)",0,0,0,0,0,9.17,8.4,3,1.6,1.6,1.6,0,0,0,0,2.18,2.09,4.18,4.28,7.65,17.51,9.31,18.36,19.4,335.48,295.12,0,0,0,0,0,0,0,0,0,740.93
"9","Albania","Kuruma prawn",0,0,0,0,0,0,0,0,0,0,0,0,0,133,71.7,58.88,16.71,117.08,0,0,0,0,0,30,70,80,130.85,0,0,0,0,0,0,0,0,708.22
"10","Albania","Mediterranean mussel",588.9,586.3,1138.8,1175.2,1935.01,938.4,2221.5,397.2,182.65,191.8,190.45,195,175,72,80,145.38,139.28,73.17,149.84,707.78,544.85,861.12,971.04,1507.61,796.76,1054,1085.28,901.93,702.5,757.08,910.13,275.09,817.62,252.73,718.22,23439.62
