"","Country","CPC_Class","y13","y14","y15","y16","y17","y18"
"1","Afghanistan","Freshwater fish, live, fresh or chilled",11730.4,13163.89,14130.7,14381.26,16346.47,17535.28
"2","Afghanistan","Salmonidae, live, fresh or chilled",316.01,349.36,367.99,368.37,367.5,346.82
"3","Albania","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"4","Albania","Mussels, live, fresh or chilled",757.08,910.13,275.09,817.62,252.73,718.22
"5","Albania","Other fish, live, fresh or chilled",0,0,0,0,0,0
"6","Albania","Other fish, live, fresh or chilled",12491.88,13083.14,11908.46,13049.69,17128.51,15279.31
"7","Albania","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"8","Albania","Salmonidae, live, fresh or chilled",2365.89,2370.14,1984.74,2416.61,2518.9,5995.97
"9","Algeria","Clams, cockles and ark shells, live, fresh or chilled",0,0,0,0,0,0
"10","Algeria","Flatfish, live, fresh or chilled",0,0,0,0,0,0
"11","Algeria","Freshwater fish, live, fresh or chilled",198.82,235.28,124.86,115.22,113.63,8.89
"12","Algeria","Freshwater fish, live, fresh or chilled",2242.34,1424.17,974.76,948.44,975.01,3806.27
"13","Algeria","Mussels, live, fresh or chilled",14.97,135.11,10.96,10.96,10.81,504.68
"14","Algeria","Other fish, live, fresh or chilled",1564.34,8827.93,3176.78,2895.86,2855.94,11413.9
"15","Algeria","Other shrimps and prawns, live, fresh or chilled",0,0,99.31,91.37,90.11,0.3
"16","Algeria","Oysters, live, fresh or chilled",1.42,0,0,0,0,365.11
"17","American Samoa","Freshwater fish, live, fresh or chilled",110,110,110,110,110,110
"18","Angola","Freshwater fish, live, fresh or chilled",273.48,2482.14,6536.69,4401.29,12105.53,8314.62
"19","Antigua and Barbuda","Freshwater fish, live, fresh or chilled",121,143,110,110,110,110
"20","Argentina","Fish of Gadiformes, live, fresh or chilled",0,0,0,0,0,0
"21","Argentina","Freshwater fish, live, fresh or chilled",15732.38,13923.62,18031.92,14065.05,14414.82,15130.06
"22","Argentina","Mussels, live, fresh or chilled",52.86,20.06,43.32,18.97,11.74,5.98
"23","Argentina","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"24","Argentina","Other fish, live, fresh or chilled",575.16,355.53,389.9,0,0,0
"25","Argentina","Other shrimps and prawns, live, fresh or chilled",0,0,0,0,0,0
"26","Argentina","Oysters, live, fresh or chilled",44.08,12.63,16.57,14.16,20.29,4.49
"27","Argentina","Salmonidae, live, fresh or chilled",11481.03,13228.34,13940.31,8465.8,9885.7,6554.68
"28","Argentina","Salmonidae, live, fresh or chilled",9.16,9.29,243.69,152.46,21.74,13.53
"29","Argentina","Others",476.25,321.97,947.67,241.9,184.75,0
"30","Armenia","Freshwater fish, live, fresh or chilled",11640,12337,9895,10443,7568,7952
"31","Armenia","Other crustaceans, live, fresh or chilled",120,120,120,120,80,0
"32","Armenia","Other fish, live, fresh or chilled",10850,14655,20575,23245,18990,19550
"33","Armenia","Salmonidae, live, fresh or chilled",25760,30844,33520,35840,43620,44108
"34","Aruba","Freshwater fish, live, fresh or chilled",0,0,0,0,0,0
"35","Australia","Abalone, live, fresh or chilled",22865.19,23178.92,21559.31,21304.61,26346.65,32571.5
"36","Australia","Crabs, live, fresh or chilled",0,0,0,0,0,0
"37","Australia","Freshwater fish, live, fresh or chilled",11162.93,8036.5,8513.42,11456.67,10655.79,12887.77
"38","Australia","Mussels, live, fresh or chilled",10079.81,8665.4,8800.4,7979.45,9052.49,8650.12
"39","Australia","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"40","Australia","Other crustaceans, live, fresh or chilled",3238.76,2556.43,2632.03,2911.47,3109.23,3954.6
"41","Australia","Other crustaceans, live, fresh or chilled",0,0,0,0,0,0
"42","Australia","Other fish, live, fresh or chilled",31638.74,30519.32,27841.04,26002.11,31482.33,40052.39
"43","Australia","Other fish, live, fresh or chilled",0,0,0,0,64.67,92.65
