Country (Country),ASFIS species (CPC class),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,2013,2014,2015,2016,2017,2018
Afghanistan,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,11730.4,13163.89,14130.7,14381.26,16346.47,17535.28
Afghanistan,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,316.01,349.36,367.99,368.37,367.5,346.82
Albania,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Albania,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,757.08,910.13,275.09,817.62,252.73,718.22
Albania,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Albania,"Other fish, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,12491.88,13083.14,11908.46,13049.69,17128.51,15279.31
Albania,"Other shrimps and prawns, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Albania,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2365.89,2370.14,1984.74,2416.61,2518.9,5995.97
Algeria,"Clams, cockles and ark shells, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Algeria,"Flatfish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Algeria,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,198.82,235.28,124.86,115.22,113.63,8.89
Algeria,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,2242.34,1424.17,974.76,948.44,975.01,3806.27
Algeria,"Mussels, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,14.97,135.11,10.96,10.96,10.81,504.68
Algeria,"Other fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,1564.34,8827.93,3176.78,2895.86,2855.94,11413.9
Algeria,"Other shrimps and prawns, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,99.31,91.37,90.11,0.3
Algeria,"Oysters, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,1.42,0,0,0,0,365.11
American Samoa,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,110,110,110,110,110,110
Angola,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,273.48,2482.14,6536.69,4401.29,12105.53,8314.62
Antigua and Barbuda,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,121,143,110,110,110,110
Argentina,"Fish of Gadiformes, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,0,0,0,0,0,0
Argentina,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,15732.38,13923.62,18031.92,14065.05,14414.82,15130.06
Argentina,"Mussels, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,52.86,20.06,43.32,18.97,11.74,5.98
Argentina,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Argentina,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,575.16,355.53,389.9,0,0,0
Argentina,"Other shrimps and prawns, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Argentina,"Oysters, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,44.08,12.63,16.57,14.16,20.29,4.49
Argentina,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,11481.03,13228.34,13940.31,8465.8,9885.7,6554.68
Argentina,"Salmonidae, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,9.16,9.29,243.69,152.46,21.74,13.53
Argentina,Others,All,Freshwater,Value (USD 1000),USD 1000,476.25,321.97,947.67,241.9,184.75,0
Armenia,"Freshwater fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,11640,12337,9895,10443,7568,7952
Armenia,"Other crustaceans, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,120,120,120,120,80,0
Armenia,"Other fish, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,10850,14655,20575,23245,18990,19550
Armenia,"Salmonidae, live, fresh or chilled",All,Freshwater,Value (USD 1000),USD 1000,25760,30844,33520,35840,43620,44108
Aruba,"Freshwater fish, live, fresh or chilled",All,Brackishwater,Value (USD 1000),USD 1000,0,0,0,0,0,0
Australia,"Abalone, live, fresh or chilled",All,Marine,Value (USD 1000),USD 1000,22865.19,23178.92,21559.31,21304.61,26346.65,32571.5
