Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All,[Solea spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98,0.11,1.36,1.39,0.25,0,0,0,0
All,[Mugil spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.21
All,[Dunaliella salina],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.55,19.71,0
All,[Spirulina maxima],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6378,5424,12000,6,10,2932.6,0,159.5,0,0,28.4,327.6,4649.16
All,[Spirulina platensis],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,220,220,308,280,280,400,400,495.44,400,361.08,588.85,560,560
All,[Chondracanthus chamissoi],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.97,66,3.3,0,0,0,0
All,[Capsosiphon fulvescens],All,All,Value (USD 1000),USD 1000,1.21,121.7,363.94,421.49,40.43,231.81,224.02,2.56,16.67,41.23,23.82,1.65,9.6,0,0,0,0,0,429.38,19.6,227.56,2230.3,4453.72,4866.73,13795.04,9966.5,9924.51,12224.55,12086.92,21457.86,11058.06,9509.63,9269.72,17152.58,19081.23
All,[Porphyra columbina],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
All,[Carassius spp],All,All,Value (USD 1000),USD 1000,84165,71400,123015,209000,148463,260405.88,268711.68,278013.16,305187.6,320681.9,385220,480366,655409.75,719613.9,740675.2,815549.25,898901.68,924659.65,1027640.25,1081905.19,1175205.2,1270744.63,1339991.44,2014624.89,2372053.91,2527651.09,2898909.72,3462238.82,3890975.15,4442796.82,5000485.38,5192163.7,5423063.71,5606245.26,5513555.1
All,[Sargassum spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,614.55,524.73
All,[Leporinus obtusidens],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,6.81,12.03,15.34,11.33,11.28,56.73,27.71
All,[Meristotheca senegalense],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.98
All,[Haematococcus pluvialis],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3088,220,254.6,419.95,397.05,922.95,2422.5,5058.12,4630.28,720.81,3120.7,6806,5519.65
All,[Ichthyoelephas humeralis],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0.92,12.67,7.02,35.29,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,[Hoplias spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007.88,3624.3,3066.81,3132.24,2446.72,1901.86,2005.4,1590.11
All,[Leporinus spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.91,129.76,203.39,12581.27,16207.92,8920.24,7674.93,11873.55,9970.23
All,[Pimelodus spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,0,0,0,0,2.03
All,[Brycon amazonicus],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,21724.85,20561.33,19244.07,39534.58,24748.94,22232.81,11970.36,8768.89
All,[Brycon hilarii],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,62,304,2080,2756,2542,2700,1018,1064,1068,1664,1768.2,2440,3384.3,4371.2,0,0,0,0,0,0,0,0
All,[Brycon spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,2767.4,2938.33,2541.55,891,11710.47,13534.23,11785.46,12277.19
All,[Cichla spp],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.7,6520.51,618.38,255,168.32,103.11,246.76,218.95
All,[Brycon orbignyanus],All,All,Value (USD 1000),USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.05,30.6,11.12,10.73,92.83,800.85
