Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Environment (Environment),Unit (Unit),Unit,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All,[Mugil spp],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.07
All,[Solea spp],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.01,0.1,0.1,0.02,0,0,0,0
All,[Spirulina platensis],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,50,70,70,70,100,100,121.33,100,83.52,143.14,140,140
All,[Spirulina maxima],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3189,2712,6000,3,5,220,0,11,0,0,4,39,450.5
All,[Dunaliella salina],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.7,0
All,[Chondracanthus chamissoi],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.65,44,2,0,0,0,0
All,[Porphyra columbina],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
All,[Capsosiphon fulvescens],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,756,1918,972,299,265,1360,2056,2367,2256,3373,1225,1497,1430,2633,3,255,550,588,10,224,432,2,5,10,6,2,12,0,0,0,0,0,247,54,142,877,1774,1100,3595,4645,4142,2181,2739,4727,5021,3777,3193,6276,7000
All,[Carassius spp],All,All,Tonnes - live weight,Tonnes - live weight,1977,3512,4076,5454,8330,9561,10156,16926,16598,17870,14973,10464,9436,10800,11994,15417,15727,14989,14558,16385,17442,18579,18614,19742,21294,22556,22197,23024,22843,24400,27000,30400,36200,42800,54300,71400,88500,104500,116900,205044,211584,218908,254323,291529,385220,533740,689905,799571,925844,1087399,1198534,1320940,1468057,1545564,1679933,1798211,1845100,1937133,1955521,2022118,2137841.23,2170680.61,2232647.9,2359632.3,2511854.6,2644086.7,2726746.72,2818875.32,2772318.62
All,[Sargassum spp],All,All,Tonnes - live weight,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,301,250
