"","Comm"
"1","[]"
"2","Abalone (Haliotis spp.), dried, salted or in brine; smoked"
"3","Abalone (Haliotis spp.), frozen"
"4","Abalone (Haliotis spp.), live, fresh or chilled"
"5","Abalone, prepared or preserved"
"6","Agar - agar"
"7","Alaska Pollock (Theragra chalcogramma), fillets, frozen"
"8","Alaska Pollock (Theragra chalcogramma), fresh or chilled"
"9","Alaska Pollock (Theragra chalcogramma), frozen"
"10","Alaska Pollock (Theragra chalcogramma), meat, frozen"
"11","Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled"
"12","Albacore or longfinned tunas (Thunnus alalunga), frozen"
"13","Anchovies (Engraulis spp.), fresh or chilled"
"14","Anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, frozen"
"15","Anchovies, prepared or preserved"
"16","Anchovies, salted or in brine"
"17","Atlantic and Danube salmon, fresh or chilled"
"18","Atlantic and Danube salmon, frozen"
"19","Bigeye tuna, fresh or chilled"
"20","Bigeye tuna, frozen"
"21","Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled"
"22","Blue whitings (Micromesistius poutassou, Micromesistius australis), frozen"
"23","Bluefin tuna (Thunnus thynnus, Thunnus orientalis), fresh or chilled"
"24","Bluefin tuna (Thunnus thynnus, Thunnus orientalis), frozen"
"25","Bluefin tunas (Thunnus thynnus, Thunnus orientalis), live"
"26","Carp,  fresh or chilled"
"27","Carp, frozen"
"28","Carp, live"
"29","Carps, eels and snakeheads, fillets, fresh or chilled"
"30","Carps, eels and snakeheads, fillets, frozen"
"31","Catfish,  fresh or chilled"
"32","Catfish, fillets, fresh or chilled"
"33","Catfish, fillets, frozen"
"34","Catfish, frozen"
"35","Caviar"
"36","Caviar substitutes"
"37","Clams, cockles and ark shells, live, fresh or chilled"
"38","Clams, cockles and arkshells, prepared or preserved"
"39","Clams, cockles, arkshells, dried, salted or in brine; smoked"
"40","Clams, cockles, arkshells, frozen"
"41","Coalfish (=Saithe), frozen"
"42","Coalfish(=Saithe), fillets, frozen"
"43","Coalfish(=Saithe), fresh or chilled"
"44","Cobia (Rachycentron canadum), fresh or chilled"
"45","Cobia (Rachycentron canadum), frozen"
"46","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), fresh or chilled"
"47","Cod (Gadus spp.), frozen"
"48","Cod (Gadus spp.), salted or in brine"
"49","Cod, fillets, frozen"
"50","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
"51","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), whether in shell or not, frozen"
"52","Coral and similar material, unworked or simply prepared"
"53","Crab, prepared or preserved"
"54","Crabs, dried, salted or in brine, smoked"
"55","Crabs, live, fresh or chilled"
"56","Crabs, whether in shell or not, frozen"
"57","Crustaceans dried, salted or in brine, smoked, for human consumption, nei"
"58","Crustaceans live, fresh or chilled, for human consumption, nei"
"59","Cuttle fish and squid, prepared or preserved"
"60","Cuttlefish and squid, frozen"
"61","Cuttlefish and squid, live, fresh or chilled"
"62","Cuttlefishes and squids, dried, salted or in brine; smoked"
"63","Dogfish (Squalidae) and other sharks, fillets, fresh or chilled"
"64","Dogfish (Squalidae) and other sharks, meat, frozen"
"65","Dogfish (Squalidae) and other sharks, meat, minced or not, fresh or chilled"
"66","Dogfish and other sharks,  fresh or chilled"
"67","Dogfish and other sharks, frozen"
"68","Dogfish, other sharks, rays and skates (Rajidae), fillets, frozen"
"69","Dried cod (Gadus spp.), whether or not salted but not smoked"
"70","Dried gadiformes, whether or not salted, but not smoked"
"71","Dried herring,achovy,sardine,sardinella,brisling/sprat,mackerel,Indian mackerel,seerfish,jack&horse mackerel,jack,crevalle,cobia,silver pomfret,Pacific saury,scad,capelin,swordfish,Kawakawa,bonito,etc"
"72","Dried tilapias, catfish, carp, eels, Nile perch and snakeheads, whether or not salted, not smoked, nei"
"73","Eels (Anguilla spp.),  fresh or chilled"
"74","Eels (Anguilla spp.), live"
"75","Eels (Anguilla spp.), prepared or preserved"
"76","Eels, frozen"
"77","Fish-liver oils"
"78","Fish fillets, fresh or chilled, nei"
"79","Fish fillets, frozen, nei"
"80","Fish flours fit for human consumption"
"81","Fish heads, tails and maws, dried, salted or in brine, smoked"
"82","Fish heads, tails, maws, tongues, fresh or chilled"
"83","Fish heads, tails, maws, tongues, frozen"
"84","Fish livers and roes, dried, salted or in brine, smoked"
"85","Fish meat, whether or not minced, frozen"
"86","Fish oils, other than liver oils"
"87","Fish waste"
"88","Flat fish, fillets, fresh or chilled"
"89","Flat fish, fillets, frozen"
"90","Fresh or chilled Southern bluefin tuna (Thunnus maccoyii)"
"91","Gadiformes fillets (excl. cod, haddock, coalfish/saithe, hake, Alaska pollock), frozen"
"92","Gadiformes, fillets, dried, salted or in brine, not smoked"
"93","Gadiformes, fillets, fresh or chilled"
"94","Gadiformes, meat, minced or not, fresh or chilled"
"95","Greenland, Atlantic and Pacific halibut, fresh or chilled"
"96","Greenland, Atlantic and Pacific halibut, frozen"
"97","Haddock (Melanogrammus aeglefinus), fillets, frozen"
"98","Haddock (Melanogrammus aeglefinus), fresh or chilled"
"99","Haddock (Melanogrammus aeglefinus), frozen"
"100","Hake (Merluccius spp., Urophycis spp.), fillets, frozen"
"101","Hake (Merluccius spp., Urophycis spp.), fresh or chilled"
"102","Hake (Merluccius spp., Urophycis spp.), frozen"
"103","Herrings (Clupea harengus, Clupea pallasii), fillets, frozen"
"104","Herrings (Clupea harengus, Clupea pallasii), fresh or chilled"
"105","Herrings (Clupea spp.), frozen"
"106","Herrings, including fillets, smoked"
"107","Herrings, prepared or preserved"
"108","Herrings, salted or in brine"
"109","Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, fresh or chilled"
"110","Jack and horse mackerel (Trachurus spp.), fresh or chilled"
"111","Jack and horse mackerel (Trachurus spp.), frozen"
"112","Jellyfish (Rhopilema spp.), live, fresh, chilled, frozen, dried, salted or in brine"
"113","Jellyfish, prepared or preserved"
"114","Livers, roes, milt, fresh or chilled"
"115","Livers, roes, milt, frozen"
"116","Lobster, prepared or preserved"
"117","Lobsters (Homarus spp.), dried, salted or in brine, smoked"
"118","Lobsters (Homarus spp.), live, fresh or chilled"
"119","Lobsters (Homarus spp.), whether in shell or not, frozen"
"120","Mackerel, fresh or chilled"
"121","Mackerel, frozen"
"122","Mackerel, prepared or preserved"
"123","Meals of fish or crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
"124","Meat of Gadiformes (excl. Alaska Pollock), frozen"
"125","Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, minced or not, fresh or chilled"
"126","Mussels, dried, salted or in brine; smoked"
"127","Mussels, frozen"
"128","Mussels, live, fresh or chilled"
"129","Mussels, prepared or preserved"
"130","Nile perch (Lates niloticus) and snakeheads (Channa spp.),  fresh or chilled"
"131","Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen"
"132","Nile Perch (Lates niloticus), fillets, fresh or chilled"
