marketcode,market
320301,강릉농산물도매시장
240001,광주각화농산물도매시장
240004,광주서부농수산물도매시장
311201,구리농수산물도매시장
220001,대구북부도매시장
250003,대전노은농수산물도매시장
250001,대전오정농수산물도매시장
360101,목포농산물도매시장
210005,부산국제수산물도매시장
210009,부산반여농산물도매시장
210001,부산엄궁농산물도매시장
110001,서울가락도매
110008,서울강서도매
310101,수원농수산물도매시장
360301,순천농산물도매시장
370401,안동도매시장
310901,안산농수산물도매시장
310401,안양농수산물도매시장
380201,울산농수산물도매시장
320201,원주농산물도매시장
350301,익산농수산물도매시장
230001,인천구월농축산물도매시장
230003,인천삼산농산물도매시장
350101,전주농수산물도매시장
350402,정읍농산물도매시장
380401,진주농산물도매시장
380303,창원내서농산물도매시장
380101,창원팔용농산물도매시장
340101,천안농산물도매시장
330101,청주농수산물도매시장
320101,춘천농수산물도매시장
330201,충주농수산물도매시장
1025401,강릉농산물도매시장
1061101,광주각화농산물도매시장
1061901,광주서부농수산물도매시장
1011901,구리농수산물도매시장
1041401,대구북부도매시장
1034101,대전노은농수산물도매시장
1034301,대전오정농수산물도매시장
2058701,목포농산물도매시장
1049201,부산국제수산물도매시장
1048001,부산반여농산물도매시장
1046901,부산엄궁농산물도매시장
1005601,서울가락도매
1007701,서울강서도매
1016301,수원농수산물도매시장
1057901,순천농산물도매시장
1015201,안산농수산물도매시장
1013901,안양농수산물도매시장
1044701,울산농수산물도매시장
1026301,원주농산물도매시장
1054501,익산농수산물도매시장
1021501,인천구월농축산물도매시장
1021401,인천삼산농산물도매시장
1055001,전주농수산물도매시장
1056101,정읍농산물도매시장
1052601,진주농산물도매시장
1051101,창원내서농산물도매시장
1051102,창원팔용농산물도매시장
1031201,천안농산물도매시장
1028701,청주농수산물도매시장
1024201,춘천농수산물도매시장
1027301,충주농수산물도매시장
